id,general,specialized,crisis
1,1,0,0
2,2,1,0
3,13,13,4
4,3,5,2
5,5,12,3
7,1,8,3
8,3,5,2
9,10,7,3
10,9,7,2
11,8,5,2
12,5,5,2
13,10,7,3
14,15,11,4
15,10,7,3
16,4,2,1
18,3,1,1
19,3,5,2
20,9,4,2
21,9,4,2
22,2,1,0
23,9,4,2
24,8,7,5
25,5,3,2
26,9,4,2
27,3,2,1
