id,general,specialized,crisis
1,1,0,0
2,2,1,0
3,15,11,4
4,5,3,2
5,10,7,3
7,6,4,2
8,5,3,2
9,10,7,3
10,10,6,2
11,9,4,2
12,5,3,2
13,10,7,3
14,15,11,4
15,10,7,3
16,4,2,1
18,3,2,0
19,5,3,2
20,9,4,2
21,9,4,2
22,2,1,0
23,9,4,2
24,10,7,3
25,5,3,2
26,9,4,2
27,3,2,1
