id,general,specialized,crisis
121,10,4,2
99,8,5,5
120,6,4,2
104,12,8,12
84,2,6,6
106,4,6,4
97,8,9,8
117,8,8,4
88,10,10,4
85,15,6,9
129,15,5,0
147,7,20,0
115,8,10,2
109,8,8,8
96,0,14,14
130,26,2,2
89,1,3,4
116,4,3,2
86,18,4,3
123,4,7,3
92,6,5,5
113,3,6,3
105,0,12,0
108,3,4,6
124,4,7,4
107,8,2,0
87,3,6,3
100,14,1,1
118,4,3,5
140,0,1,0
122,6,6,2
153,0,4,4
94,8,6,6
125,7,0,2
93,10,6,2
98,2,6,6
103,7,4,4
111,8,0,4
155,1,1,2
152,4,3,3
