positionId,positionName,committeeId,committeeName,schoolId,schoolName,,,,,,In DB,,,,school,,,,
564,"Peter Grant, SNP Spokesperson on Exiting the European Union",93,Brexit,113,Beaver Country Day School ,,,,,,,,,,,,,,
689,Ambassador Colombo,88,Congress of Lutsk (1429) ,113,Beaver Country Day School ,,,,,,,,,,,,,,
695,Delegate Heimrad,88,Congress of Lutsk (1429) ,113,Beaver Country Day School ,,,,,,,,,,,,,,
542,Nancy Kassebaum - Kansas,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),113,Beaver Country Day School ,,,,,,,,,,,,,,
747,Hélène Cixous ,89,Post-Colonial Algeria (1962),113,Beaver Country Day School ,,,,,,,,,,,,,,
740,Jean Sénac,89,Post-Colonial Algeria (1962),113,Beaver Country Day School ,,,,,,,,,,,,,,
476,Ward 13: Councilwoman Amelia Lively,78,Providence City Council (1975),113,Beaver Country Day School ,,,,,,,,,,,,,,
613,Joseph Carey,77,The Gilded Age (1892),113,Beaver Country Day School ,,,,,,,,,,,,,,
611,Robert M. La Follette,77,The Gilded Age (1892),113,Beaver Country Day School ,,,,,,,,,,,,,,
231,Afghanistan,102,United Nations Environmental Programme,113,Beaver Country Day School ,,,,,,,,,,,,,,
75,Algeria,98,United Nations Human Rights Council,113,Beaver Country Day School ,,,,,,,,,,,,,,
275,Finland,106,United Nations International Children’s Emergency Fund,113,Beaver Country Day School ,,,,,,,,,,,,,,
23,Nigeria,109,African Union,126,Bedford High School,,,,,,,,,,,,,,
34,Zimbabwe,109,African Union,126,Bedford High School,,,,,,,,,,,,,,
60,Kenya ,97,Disarmament and International Security Committee,126,Bedford High School,,,,,,,,,,,,,,
46,Dominican Republic,97,Disarmament and International Security Committee,126,Bedford High School,,,,,,,,,,,,,,
178,Malta,99,European Union,126,Bedford High School,,,,,,,,,,,,,,
185,Spain,99,European Union,126,Bedford High School,,,,,,,,,,,,,,
394,Cameroon,105,GA Plenary,126,Bedford High School,,,,,,,,,,,,,,
386,Madagascar,105,GA Plenary,126,Bedford High School,,,,,,,,,,,,,,
435,Kuwait,101,Security Council,126,Bedford High School,,,,,,,,,,,,,,
438,South Africa,101,Security Council,126,Bedford High School,,,,,,,,,,,,,,
216,Botswana,102,United Nations Environmental Programme,126,Bedford High School,,,,,,,,,,,,,,
227,Hungary ,102,United Nations Environmental Programme,126,Bedford High School,,,,,,,,,,,,,,
385,Nigeria,105,GA Plenary,107,Bellaire High School,,,,,,,,,,,,,,
362,United Kingdom,105,GA Plenary,107,Bellaire High School,,,,,,,,,,,,,,
616,Edward Douglass White,77,The Gilded Age (1892),107,Bellaire High School,,,,,,,,,,,,,,
605,William Jennings Bryan,77,The Gilded Age (1892),107,Bellaire High School,,,,,,,,,,,,,,
322,Sudan,103,United Nations Economic and Social Council,107,Bellaire High School,,,,,,,,,,,,,,
313,Myanmar,103,United Nations Economic and Social Council,107,Bellaire High School,,,,,,,,,,,,,,
233,Netherlands,102,United Nations Environmental Programme,107,Bellaire High School,,,,,,,,,,,,,,
229,Italy,102,United Nations Environmental Programme,107,Bellaire High School,,,,,,,,,,,,,,
289,Slovakia,106,United Nations International Children’s Emergency Fund,107,Bellaire High School,,,,,,,,,,,,,,
287,Portugal,106,United Nations International Children’s Emergency Fund,107,Bellaire High School,,,,,,,,,,,,,,
782,Carl Theodor Welcker,113,Frankfurt Parliament (1848),105,Belmont High School,,,,,,,,,,,,,,
786,Gabriel Riesser,113,Frankfurt Parliament (1848),105,Belmont High School,,,,,,,,,,,,,,
803,Liberia,112,Organization of African Unity (1963),105,Belmont High School,,,,,,,,,,,,,,
796,Ghana,112,Organization of African Unity (1963),105,Belmont High School,,,,,,,,,,,,,,
778,Vanuatu,92,Pacific Island Leaders Meeting (2018),105,Belmont High School,,,,,,,,,,,,,,
763,Australia,92,Pacific Island Leaders Meeting (2018),105,Belmont High School,,,,,,,,,,,,,,
849,Times of India 2,83,Press Corps (2019),105,Belmont High School,,,,,,,,,,,,,,
841,Times of India 1,83,Press Corps (2019),105,Belmont High School,,,,,,,,,,,,,,
648,Alta Charo,86,Second International Summit on Human Genome Editing (2018),105,Belmont High School,,,,,,,,,,,,,,
655,Carrie Lam,86,Second International Summit on Human Genome Editing (2018),105,Belmont High School,,,,,,,,,,,,,,
609,Eugene Debs,77,The Gilded Age (1892),105,Belmont High School,,,,,,,,,,,,,,
626,Nelson Aldrich,77,The Gilded Age (1892),105,Belmont High School,,,,,,,,,,,,,,
570,India,95,Accelerando 2030,98,Belmont Hill School,,,,,,,,,,,,,,
557,"Tom Watson, Deputy Leader of the Labour Party",93,Brexit,98,Belmont Hill School,,,,,,,,,,,,,,
518,Marie-Elise Dubois,80,Estates General (1789),98,Belmont Hill School,,,,,,,,,,,,,,
